experiment,system,dataset,target_recall,base_label,chunks,slots,k,run_index,recall_at_10,recall_at_100,recall,qps,avg_latency_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,gpu_mem_peak_mib,nprobe,k_rank_cluster,k_rank_all_tokens,itopk_size,overlap_chunks,binary,log,returncode,command,error_tail,effective_concurrent_queries,end_to_end_ms,gpu_mem_current_mib,label,min_ms,nq,stage3_threads,warmup
chimera_chunk_targets,chimera,lotte,0.90,c1,6,1,100,1,0.957421,0.90927,0.90927,546.092,1.831,1.825,1.921,1.955,2.034,8.288,0.147,,64,2400,240,128,6,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5367.226,,r090_c1_c6_run1,1.531,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,6,1,100,2,0.957489,0.90928,0.90928,521.023,1.919,1.872,2.025,2.090,2.275,15.588,0.560,,64,2400,240,128,6,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5625.473,,r090_c1_c6_run2,1.535,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,6,1,100,3,0.957489,0.909253,0.909253,542.428,1.843,1.829,1.949,2.003,2.171,8.637,0.271,,64,2400,240,128,6,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5403.479,,r090_c1_c6_run3,1.507,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,7,1,100,1,0.957455,0.909314,0.909314,489.506,2.043,2.024,2.136,2.178,2.986,6.253,0.285,,64,2400,240,128,7,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5987.670,,r090_c1_c7_run1,1.668,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,7,1,100,2,0.957489,0.909314,0.909314,508.450,1.967,1.963,2.072,2.105,2.182,6.058,0.151,,64,2400,240,128,7,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5764.574,,r090_c1_c7_run2,1.640,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,7,1,100,3,0.957455,0.909307,0.909307,492.832,2.029,2.028,2.165,2.207,2.393,7.854,0.293,,64,2400,240,128,7,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5947.256,,r090_c1_c7_run3,1.590,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,8,1,100,1,0.957455,0.909266,0.909266,495.734,2.017,2.016,2.150,2.184,2.288,6.000,0.150,,64,2400,240,128,8,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5912.442,,r090_c1_c8_run1,1.663,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,8,1,100,2,0.957421,0.909277,0.909277,492.454,2.030,1.965,2.276,2.368,2.603,16.062,0.525,,64,2400,240,128,8,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,5951.829,,r090_c1_c8_run2,1.627,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,8,1,100,3,0.957421,0.909263,0.909263,466.896,2.142,2.147,2.266,2.304,2.414,8.297,0.212,,64,2400,240,128,8,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,6277.629,,r090_c1_c8_run3,1.776,-1,32,5
chimera_chunk_targets,chimera,lotte,0.90,c1,9,1,100,1,0.957489,0.90927,0.90927,460.570,2.171,2.156,2.389,2.439,2.567,7.529,0.307,,64,2400,240,128,9,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_chunk_targets/logs/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_chunk_targets/20260429T172145Z/lotte/chimera/targets090_095_chunks1-12_slots1_runs3.csv,,1,6363.853,,r090_c1_c9_run1,1.761,-1,32,5
