implementation,dataset,label,ncells,ndocs,index_source,index_path,queries,k,warmup,avg_time_s,qps,recall,avg_latency_ms,gpu_mem_current_mib,gpu_mem_peak_mib,gpu_mem_total_mib,torch_peak_allocated_mib,torch_peak_reserved_mib,source,target_recall
plaid_gpu_resident,hotpot,c3,2,1000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,10,5,0.007686,130.110214,0.919600,7.686000,21344.00,21344.00,32494.12,20023.51,20804.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/hotpot/plaid_gpu_resident/benchmark_results.csv,0.90
plaid_gpu_resident,hotpot,c5m,3,4000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.009884,101.175008,0.911950,9.884000,21740.00,21740.00,32494.12,20350.63,21200.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/hotpot/plaid_gpu_resident/benchmark_results.csv,0.90
plaid_gpu_resident,hotpot,c14,16,20000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/hotpot/colbert/indexes/4bit,1000,100,5,0.028114,35.569864,0.950220,28.114000,27986.00,27986.00,32494.12,23142.69,27446.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/hotpot/plaid_gpu_resident/benchmark_results.csv,0.95
plaid_gpu_resident,lotte,c1,1,500,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,10,5,0.005737,174.294227,0.909826,5.737000,19554.00,19554.00,32494.12,18404.24,19014.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/lotte/plaid_gpu_resident/benchmark_results.csv,0.90
plaid_gpu_resident,lotte,c4,2,2000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,10,5,0.007140,140.047506,0.950631,7.140000,20252.00,20252.00,32494.12,18657.48,19712.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k10/lotte/plaid_gpu_resident/benchmark_results.csv,0.95
plaid_gpu_resident,lotte,c4m,2,3000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,100,5,0.007702,129.839752,0.910000,7.702000,20062.00,20062.00,32494.12,18718.66,19522.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv,0.90
plaid_gpu_resident,lotte,c8,4,8000,dataset,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/colbert/indexes/4bit,2931,100,5,0.011688,85.556413,0.950720,11.688000,21240.00,21240.00,32494.12,19236.16,20698.00,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_r5/k100/lotte/plaid_gpu_resident/benchmark_results.csv,0.95
