batch_id,phase,dataset,topk,metric_name,query_count_run,phi_pb,phi_ref,qps,throughput_qps,avg_latency_ms,service_qps_equivalent,batch_time_per_query_ms,wall_qps,wall_sec,recall_mean,recall_p50,recall_p95,search_time_m,chunk_json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,500,259.7402597402597,259.7402597402597,94.90283999999998,10.53709246214339,3.85,0.3131265258791186,159.67986059188843,0.4122,0.355,0.8654999999999999,"{""decode_time_average(ms)"": ""50.183"", ""filter_time_average(ms)"": ""34.273"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""10.445"", ""retrieval_time_average(ms)"": ""3.850"", ""retrieval_time_query_average(ms)"": ""94.903"", ""retrieval_time_query_p5(ms)"": ""51.229"", ""retrieval_time_query_p50(ms)"": ""83.625"", ""retrieval_time_query_p95(ms)"": ""149.334""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_003.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,1000,247.8929102627665,247.8929102627665,107.19658000000001,9.328655820922645,4.034,0.31141576799844845,160.55705952644348,0.5004,0.43,0.94,"{""decode_time_average(ms)"": ""63.335"", ""filter_time_average(ms)"": ""21.961"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""21.898"", ""retrieval_time_average(ms)"": ""4.034"", ""retrieval_time_query_average(ms)"": ""107.197"", ""retrieval_time_query_p5(ms)"": ""56.424"", ""retrieval_time_query_p50(ms)"": ""120.322"", ""retrieval_time_query_p95(ms)"": ""144.508""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_003.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,2000,137.3437714599643,137.3437714599643,174.90952000000001,5.717241691590028,7.281,0.2825981526125699,176.92967748641968,0.5854,0.595,0.9554999999999999,"{""decode_time_average(ms)"": ""71.349"", ""filter_time_average(ms)"": ""58.787"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""44.772"", ""retrieval_time_average(ms)"": ""7.281"", ""retrieval_time_query_average(ms)"": ""174.910"", ""retrieval_time_query_p5(ms)"": ""101.086"", ""retrieval_time_query_p50(ms)"": ""179.277"", ""retrieval_time_query_p95(ms)"": ""226.664""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_004.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,3000,93.20533134495294,93.20533134495294,244.84426,4.084228889008875,10.729,0.27813373235341193,179.76963663101196,0.6332,0.66,0.9554999999999999,"{""decode_time_average(ms)"": ""113.303"", ""filter_time_average(ms)"": ""67.950"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""63.590"", ""retrieval_time_average(ms)"": ""10.729"", ""retrieval_time_query_average(ms)"": ""244.844"", ""retrieval_time_query_p5(ms)"": ""157.434"", ""retrieval_time_query_p50(ms)"": ""261.111"", ""retrieval_time_query_p95(ms)"": ""312.475""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_004.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,4000,89.3415527561869,89.3415527561869,252.5275,3.959964756313669,11.193,0.2989031769676667,167.27824878692627,0.6681999999999999,0.675,0.96,"{""decode_time_average(ms)"": ""131.022"", ""filter_time_average(ms)"": ""35.732"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""85.771"", ""retrieval_time_average(ms)"": ""11.193"", ""retrieval_time_query_average(ms)"": ""252.528"", ""retrieval_time_query_p5(ms)"": ""176.633"", ""retrieval_time_query_p50(ms)"": ""251.707"", ""retrieval_time_query_p95(ms)"": ""330.442""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_004.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,2,6000,69.53135864274788,69.53135864274788,343.03072,2.915190802736268,14.382,0.2941230466375358,169.99687910079956,0.7416000000000001,0.765,0.96,"{""decode_time_average(ms)"": ""187.137"", ""filter_time_average(ms)"": ""23.125"", ""incremental_graph_n_compute_l_average"": ""16322.400"", ""n_seen_item_average"": ""38167.280"", ""n_vq_score_linear_scan_average"": ""70922.720"", ""refine_time_average(ms)"": ""132.766"", ""retrieval_time_average(ms)"": ""14.382"", ""retrieval_time_query_average(ms)"": ""343.031"", ""retrieval_time_query_p5(ms)"": ""244.153"", ""retrieval_time_query_p50(ms)"": ""355.934"", ""retrieval_time_query_p95(ms)"": ""421.442""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_004.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,100,476.4173415912339,476.4173415912339,51.58343999999999,19.386066536082126,2.099,0.3037753500262491,164.59531688690186,0.24340000000000003,0.195,0.46749999999999986,"{""decode_time_average(ms)"": ""4.405"", ""filter_time_average(ms)"": ""45.432"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""1.745"", ""retrieval_time_average(ms)"": ""2.099"", ""retrieval_time_query_average(ms)"": ""51.583"", ""retrieval_time_query_p5(ms)"": ""24.805"", ""retrieval_time_query_p50(ms)"": ""52.798"", ""retrieval_time_query_p95(ms)"": ""79.170""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_005.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,200,159.5150741745095,159.5150741745095,124.35994,8.041174674095211,6.269,0.30311768005611694,164.9524369239807,0.3308,0.28500000000000003,0.6465,"{""decode_time_average(ms)"": ""63.165"", ""filter_time_average(ms)"": ""57.001"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""4.193"", ""retrieval_time_average(ms)"": ""6.269"", ""retrieval_time_query_average(ms)"": ""124.360"", ""retrieval_time_query_p5(ms)"": ""56.907"", ""retrieval_time_query_p50(ms)"": ""87.245"", ""retrieval_time_query_p95(ms)"": ""229.052""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_005.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,500,292.05607476635515,292.05607476635515,84.22290000000001,11.87325537353855,3.424,0.31249478980272544,160.00266766548157,0.4596,0.41,0.8454999999999999,"{""decode_time_average(ms)"": ""43.604"", ""filter_time_average(ms)"": ""30.329"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""10.289"", ""retrieval_time_average(ms)"": ""3.424"", ""retrieval_time_query_average(ms)"": ""84.223"", ""retrieval_time_query_p5(ms)"": ""37.726"", ""retrieval_time_query_p50(ms)"": ""66.992"", ""retrieval_time_query_p95(ms)"": ""137.262""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_005.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,1000,268.6005909213,268.6005909213,91.05197999999999,10.98273755276931,3.723,0.3115523999580556,160.48664689064026,0.57,0.555,0.9454999999999999,"{""decode_time_average(ms)"": ""42.451"", ""filter_time_average(ms)"": ""26.246"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""22.352"", ""retrieval_time_average(ms)"": ""3.723"", ""retrieval_time_query_average(ms)"": ""91.052"", ""retrieval_time_query_p5(ms)"": ""59.239"", ""retrieval_time_query_p50(ms)"": ""99.726"", ""retrieval_time_query_p95(ms)"": ""116.550""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_005.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,2000,129.01561088891756,129.01561088891756,186.33088,5.366796958185352,7.751,0.2828485308428512,176.7730588912964,0.6622000000000001,0.7050000000000001,0.96,"{""decode_time_average(ms)"": ""74.038"", ""filter_time_average(ms)"": ""70.628"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""41.663"", ""retrieval_time_average(ms)"": ""7.751"", ""retrieval_time_query_average(ms)"": ""186.331"", ""retrieval_time_query_p5(ms)"": ""115.624"", ""retrieval_time_query_p50(ms)"": ""182.602"", ""retrieval_time_query_p95(ms)"": ""259.201""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_006.json
igp_val_20260428T041716Z_nbit4_t32,val,hotpot,100,recall@100,50,4,3000,98.81422924901186,98.81422924901186,232.56651999999997,4.299845050783751,10.12,0.2807238978613452,178.1109495162964,0.7070000000000001,0.77,0.96,"{""decode_time_average(ms)"": ""104.180"", ""filter_time_average(ms)"": ""63.950"", ""incremental_graph_n_compute_l_average"": ""17673.680"", ""n_seen_item_average"": ""68797.680"", ""n_vq_score_linear_scan_average"": ""138236.900"", ""refine_time_average(ms)"": ""64.434"", ""retrieval_time_average(ms)"": ""10.120"", ""retrieval_time_query_average(ms)"": ""232.567"", ""retrieval_time_query_p5(ms)"": ""158.598"", ""retrieval_time_query_p50(ms)"": ""242.967"", ""retrieval_time_query_p95(ms)"": ""299.049""}",profiling/igp_paper_cpu/chunks/igp_val_20260428T041716Z_nbit4_t32/val/hotpot/igp_hotpot_top100_val_chunk_006.json
