system,dataset,target_recall,slots,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera_nosum,lotte,0.90,1,3,3,0.909289,0.000028,0.957478,0.000020,0.909289,0.000028,238.526667,4.493339,4.192667,0.079198,4.175000,4.337000,4.396667,7.372000,14.538667,0.661000,,,,5.248408,0.022539,0.029138,0.043294,2.872190,0.349138
chimera_nosum,lotte,0.95,1,3,3,0.950661,0.000034,0.962822,0.000020,0.950661,0.000034,201.981667,1.514555,4.951000,0.037323,4.951000,5.095333,5.144000,5.888333,9.804667,0.282000,9139.380000,0.000000,9139.380000,1.921423,0.021633,0.028361,0.030512,1.089571,0.083144
chimera_nosum,msmarco,0.90,1,3,3,0.917329,0.000026,0.963797,0.000000,0.917329,0.000026,392.930000,0.872511,2.545000,0.005568,2.515000,2.729667,2.806667,3.010000,11.714000,0.318000,,,,1.915708,0.003606,0.006658,0.009074,0.042579,0.074960
chimera_nosum,msmarco,0.95,1,3,3,0.951842,0.000029,0.965769,0.000009,0.951842,0.000029,264.432000,1.755488,3.781667,0.025384,3.667333,4.293667,4.489667,5.257333,11.962000,0.504000,18057.380000,0.000000,18057.380000,3.231327,0.007638,0.023502,0.031943,0.578294,0.138654
v9,hotpot,0.90,1,3,3,0.913867,0.000081,0.944267,0.000153,0.913867,0.000081,332.725667,5.918040,3.005000,0.053703,2.908000,3.186000,3.293333,6.020000,11.956333,0.764000,,,,1.049071,0.024576,0.018682,0.028290,2.095825,0.186301
v9,hotpot,0.95,1,3,3,0.950123,0.000032,0.949500,0.000000,0.950123,0.000032,146.668000,2.852169,6.819333,0.132802,6.749667,7.385667,7.597333,9.813000,13.050333,0.718000,15605.380000,0.000000,15605.380000,2.978034,0.100803,0.121496,0.145607,3.071435,0.234923
v9,lotte,0.90,1,3,3,0.909273,0.000021,0.957455,0.000034,0.909273,0.000021,532.971667,29.840328,1.879667,0.102890,1.826000,1.997000,2.077667,3.740333,10.452333,0.498667,,,,1.244767,0.070171,0.104173,0.120359,1.431196,0.211909
v9,lotte,0.95,1,3,3,0.950680,0.000021,0.962834,0.000020,0.950680,0.000021,425.908667,18.542181,2.350333,0.100221,2.296667,2.531667,2.615333,4.188333,10.593667,0.471667,14217.380000,0.000000,14217.380000,3.121052,0.076846,0.135692,0.147748,1.315936,0.209128
v9,msmarco,0.90,1,3,3,0.917346,0.000013,0.963806,0.000008,0.917346,0.000013,502.627333,12.051753,1.990000,0.048280,1.933667,2.113333,2.186667,3.570667,9.028667,0.487000,,,,2.600339,0.025146,0.029687,0.032868,1.225090,0.194772
v9,msmarco,0.95,1,3,3,0.951838,0.000010,0.965769,0.000009,0.951838,0.000010,372.069333,3.992857,2.687667,0.028537,2.668667,2.901667,2.981667,3.150000,9.604333,0.223333,29443.380000,0.000000,29443.380000,4.837868,0.029939,0.036828,0.041296,0.035511,0.040154
