system,dataset,label,slots,k,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,hotpot,i1,1,100,3,3,0.935530,0.000070,0.947833,0.000058,0.935530,0.000070,269.685667,6.348795,3.709000,0.088085,3.671667,4.044667,4.147333,4.533333,8.081333,0.365667,,,,0.258256,0.073112,0.101594,0.102198,0.251806,0.083913
chimera,hotpot,j1,1,100,3,3,0.941427,0.000106,0.948133,0.000058,0.941427,0.000106,233.920000,4.642600,4.275333,0.085172,4.210000,4.666333,4.803000,6.671000,11.941333,0.584333,,,,6.320782,0.035157,0.060352,0.073546,2.878245,0.412994
chimera,hotpot,k1,1,100,3,3,0.950087,0.000029,0.949500,0.000000,0.950087,0.000029,133.560000,0.972548,7.486667,0.054271,7.412667,8.152667,8.348000,11.824667,14.617667,0.842000,,,,0.792708,0.028746,0.032716,0.042462,2.493768,0.172514
chimera,hotpot,l1,1,100,3,3,0.950350,0.000017,0.949633,0.000058,0.950350,0.000017,123.945000,0.728122,8.067667,0.047962,8.024667,8.784000,8.950333,9.856667,14.026333,0.647000,10231.380000,0.000000,10231.380000,2.235993,0.028290,0.037403,0.046501,0.651116,0.101059
chimera,lotte,a1,1,100,3,3,0.663013,0.000037,0.889424,0.000059,0.663013,0.000037,578.798667,26.033123,1.729667,0.076009,1.686000,1.828667,1.883333,4.050667,13.564000,0.677000,,,,3.362833,0.045078,0.033858,0.048211,2.127934,0.217387
chimera,lotte,a2,1,100,3,3,0.742499,0.000033,0.917218,0.000040,0.742499,0.000033,633.967667,23.069907,1.578667,0.056083,1.563667,1.695667,1.735333,1.960667,9.985667,0.301333,,,,2.638402,0.075062,0.036896,0.038734,0.171051,0.087295
chimera,lotte,a3,1,100,3,3,0.781977,0.000009,0.921256,0.000035,0.781977,0.000009,650.657000,21.633969,1.537667,0.050292,1.535000,1.638000,1.677000,1.861667,6.732667,0.188000,,,,0.923924,0.045738,0.039887,0.056205,0.177272,0.039737
chimera,lotte,a4,1,100,3,3,0.712763,0.000026,0.926226,0.000039,0.712763,0.000026,632.845667,25.846611,1.581667,0.064532,1.566333,1.713000,1.749333,2.294000,8.958333,0.309333,,,,2.407075,0.076814,0.056507,0.053050,0.849555,0.112838
chimera,lotte,b1,1,100,3,3,0.791035,0.000021,0.944740,0.000052,0.791035,0.000021,604.184333,23.332543,1.656667,0.062565,1.658333,1.763000,1.789667,1.979667,8.864667,0.298333,,,,2.341384,0.066260,0.061506,0.062067,0.183865,0.111182
chimera,lotte,b2,1,100,3,3,0.843651,0.000039,0.949437,0.000034,0.843651,0.000039,620.308333,20.310775,1.613000,0.053694,1.613333,1.704333,1.728667,1.807000,6.677333,0.169333,,,,0.767576,0.055003,0.033020,0.033531,0.053226,0.041199
chimera,lotte,b3,1,100,3,3,0.853449,0.000034,0.953133,0.000020,0.853449,0.000034,587.307000,9.878917,1.702667,0.028431,1.697667,1.790000,1.826333,1.933667,8.895333,0.287333,,,,3.606720,0.024173,0.040927,0.051501,0.122001,0.165379
chimera,lotte,b4,1,100,3,3,0.885358,0.000051,0.955931,0.000086,0.885358,0.000051,602.443333,15.777748,1.660333,0.043844,1.659000,1.744000,1.772667,2.032333,6.019667,0.164000,,,,0.280751,0.036373,0.036056,0.041053,0.399231,0.054945
chimera,lotte,c1,1,100,3,3,0.909261,0.000013,0.957466,0.000039,0.909261,0.000013,573.664333,23.963556,1.745000,0.073082,1.730333,1.832333,1.859000,1.927333,9.630333,0.248333,,,,3.977821,0.055770,0.089918,0.094715,0.127563,0.216426
chimera,lotte,c2,1,100,3,3,0.910937,0.000041,0.960184,0.000000,0.910937,0.000041,529.747000,19.708662,1.889333,0.069816,1.866333,1.969333,2.004333,2.731333,8.883000,0.285667,,,,1.476373,0.045982,0.055510,0.059869,1.133062,0.131089
chimera,lotte,c3,1,100,3,3,0.927301,0.000026,0.960890,0.000020,0.927301,0.000026,527.166000,16.885363,1.897667,0.061044,1.871000,2.004333,2.044000,2.190333,10.203333,0.279667,,,,4.099165,0.032357,0.081819,0.093311,0.167375,0.236716
chimera,lotte,d1,1,100,3,3,0.943562,0.000033,0.962538,0.000035,0.943562,0.000033,471.743667,4.406852,2.119667,0.019858,2.090667,2.264000,2.319333,2.470667,8.939667,0.315667,,,,0.670607,0.012858,0.030199,0.026407,0.048045,0.069169
chimera,lotte,e1,1,100,3,3,0.937997,0.000021,0.961583,0.000000,0.937997,0.000021,506.700000,16.294122,1.974667,0.064299,1.953667,2.086667,2.129667,2.243667,11.096000,0.291000,,,,3.875608,0.039879,0.092878,0.108666,0.185257,0.228738
chimera,lotte,e2,1,100,3,3,0.936064,0.000007,0.962277,0.000020,0.936064,0.000007,476.719000,7.290998,2.097667,0.031974,2.069333,2.216000,2.264333,2.465000,10.262000,0.326333,,,,1.039193,0.015044,0.036373,0.041789,0.151060,0.135784
chimera,lotte,f1,1,100,3,3,0.950679,0.000046,0.962822,0.000020,0.950679,0.000046,428.203000,3.952922,2.335000,0.021517,2.311333,2.462333,2.519000,2.670000,11.927000,0.363333,,,,4.129626,0.010263,0.023459,0.034395,0.069289,0.170430
chimera,lotte,f2,1,100,3,3,0.953055,0.000011,0.963300,0.000020,0.953055,0.000011,412.133667,9.418429,2.427000,0.056312,2.413333,2.566000,2.620333,2.728000,8.200000,0.235667,,,,3.041918,0.041356,0.076236,0.087272,0.120329,0.151579
chimera,lotte,g1,1,100,3,3,0.957375,0.000025,0.963505,0.000020,0.957375,0.000025,358.138333,11.448392,2.794000,0.088764,2.748000,2.956333,3.033000,3.666333,11.145333,0.469333,,,,6.157730,0.054525,0.091762,0.121198,0.559209,0.286001
chimera,lotte,g2,1,100,3,3,0.958408,0.000022,0.963517,0.000020,0.958408,0.000022,340.472000,6.468296,2.937667,0.055374,2.903667,3.073333,3.136000,4.212333,9.894000,0.403333,,,,3.110155,0.026026,0.039311,0.051971,1.570790,0.233498
