system,dataset,topk,recall,qps,label,source
PLAID,msmarco,10,0.943037,90.303874,search_py_3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.944885,84.769538,search_py_4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.958037,64.986956,search_py_5,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.960158,62.554846,search_py_6,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.96096,60.772157,search_py_7,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.961719,51.361309,search_py_0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.961934,47.167286,search_py_1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.964585,34.341731,search_py_2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.96533,30.234478,search_py_3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.965616,26.912183,search_py_4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.965831,25.585322,search_py_5,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.966275,20.724805,search_py_6,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.966289,17.847476,search_py_7,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.966375,17.17108,search_py_8,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
PLAID,msmarco,10,0.966533,16.109011,search_py_9,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_remaining/k10/msmarco/plaid/search_py_output.csv
IGP,msmarco,10,0.87,263.157895,phi4_400,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,msmarco,10,0.89,204.540806,phi4_600,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,msmarco,10,0.93,179.791442,phi16_400,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,msmarco,10,0.934,149.947518,phi16_600,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,msmarco,10,0.944,127.713921,phi32_400,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
IGP,msmarco,10,0.948,75.0075008,phi64_600,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/igp/summary_t32.csv
Chimera-CPU,msmarco,10,0.951132,367.006667,a1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.966533,327.029,a4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.974284,249.648333,b1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.976304,228.534333,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.977421,144.669667,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.97884,128.954,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.979656,119.244333,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.980774,99.679,c2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.981318,93.444,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.981547,86.052667,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.981805,72.178333,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.981963,66.836,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982206,57.836,f2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.98235,52.708667,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982378,51.235667,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982636,42.401667,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982722,35.318667,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982822,29.777667,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera-CPU,msmarco,10,0.982908,15.083667,k1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
Chimera,lotte,100,0.843729,599.133,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.853432,591.342,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
